iter	Logloss
0	0.6927381962
1	0.6925364216
2	0.6923306627
3	0.6919773016
4	0.6915719081
5	0.6913613723
6	0.6911007122
7	0.6910886438
8	0.6909026919
9	0.6906503214
10	0.6903692797
11	0.6901963303
12	0.6899680483
13	0.6896514247
14	0.6895987418
15	0.6894335251
16	0.689006093
17	0.6887163934
18	0.6884330356
19	0.6880668164
20	0.6879049905
21	0.687545474
22	0.6872710097
23	0.6871995675
24	0.6871970322
25	0.6870436335
26	0.6870112041
27	0.686778179
28	0.6865459858
29	0.686363076
30	0.6862683687
31	0.6862550208
32	0.6860224556
33	0.6859467958
34	0.6857091187
35	0.6856947444
36	0.6854098316
37	0.6852840057
38	0.6852657301
39	0.6850501493
40	0.684884113
41	0.6848773745
42	0.6847715317
43	0.6846760344
44	0.6846757677
45	0.6845774738
46	0.6844476629
47	0.6843471909
48	0.6841193022
49	0.683861135
50	0.6837058715
51	0.6836378807
52	0.6834983919
53	0.6834812516
54	0.6834127676
55	0.6830939246
56	0.6830915067
57	0.6827131337
58	0.6827131141
59	0.6825625723
60	0.6823523684
61	0.6819858072
62	0.6817234081
63	0.6817222345
64	0.6816732036
65	0.6815955757
66	0.6814485292
67	0.6811480975
68	0.6810934111
69	0.6810712897
70	0.6809189743
71	0.680698135
72	0.6805643464
73	0.6801505138
74	0.680150049
75	0.6799154525
76	0.6798754113
77	0.6797020694
78	0.6797018716
79	0.6795014552
80	0.6791990332
81	0.6790747051
82	0.6790690867
83	0.6789105957
84	0.6787254101
85	0.678725407
86	0.6785176111
87	0.6782105162
88	0.6780962565
89	0.6780228234
90	0.6779236516
91	0.6777251491
92	0.6773886542
93	0.6771580987
94	0.6768691398
95	0.6765330901
96	0.6765101684
97	0.6763570964
98	0.6762514329
99	0.6762514323
100	0.6760112174
101	0.6759350462
102	0.6756383193
103	0.6755570914
104	0.6755033318
105	0.6754973133
106	0.6752934262
107	0.6751834903
108	0.674980071
109	0.6748023112
110	0.6747312695
111	0.674642806
112	0.6745489348
113	0.6744602258
114	0.6743014788
115	0.6741543472
116	0.6739251835
117	0.6736220168
118	0.6735025783
119	0.6732161459
120	0.6731643629
121	0.6729996982
122	0.6728824014
123	0.6728824014
124	0.6728735901
125	0.6727489528
126	0.6726913501
127	0.6726178959
128	0.6725224236
129	0.6724008651
130	0.6723960511
131	0.6723960511
132	0.6722564606
133	0.6720429773
134	0.6718865095
135	0.6716752439
136	0.6714328493
137	0.6710761981
138	0.6709440342
139	0.6708194423
140	0.6707322585
141	0.6704655501
142	0.6702372422
143	0.6701364368
144	0.6700393594
145	0.6699837552
146	0.6699743534
147	0.669523936
148	0.6694724788
149	0.6694305617
150	0.6692585277
151	0.6690706034
152	0.669024079
153	0.6689280337
154	0.6688424496
155	0.6687737688
156	0.6687521343
157	0.668537336
158	0.668395159
159	0.668275939
160	0.6680079717
161	0.6678829661
162	0.6678493933
163	0.6676243743
164	0.667337781
165	0.6671866422
166	0.6669461125
167	0.6667252942
168	0.6664840378
169	0.6663004106
170	0.6662538757
171	0.6661699232
172	0.6660712076
173	0.6658759615
174	0.6655880401
175	0.6654232804
176	0.6653169506
177	0.6651171024
178	0.6649547348
179	0.6647886734
180	0.6646855264
181	0.6644533238
182	0.6644116631
183	0.6642484442
184	0.6639917939
185	0.6637991993
186	0.663693603
187	0.6634059698
188	0.6631010138
189	0.6628459603
190	0.662745954
191	0.6625767328
192	0.6623472045
193	0.6619932219
194	0.6618289503
195	0.6616628824
196	0.6614649391
197	0.661331997
198	0.6611512069
199	0.660971732
200	0.6604902186
201	0.6603236481
202	0.6600888623
203	0.6598434784
204	0.6595211713
205	0.6593208675
206	0.6589580935
207	0.6587676683
208	0.6585386221
209	0.6582696575
210	0.657980363
211	0.6576593569
212	0.6575382619
213	0.6571540111
214	0.6568199407
215	0.656586727
216	0.6562877518
217	0.6560378287
218	0.6557101355
219	0.655378195
220	0.6549765613
221	0.6546883203
222	0.6545775216
223	0.6543535192
224	0.6541496567
225	0.6540056972
226	0.6538659026
227	0.6534208561
228	0.6531998717
229	0.6529275449
230	0.6527867503
231	0.6526110707
232	0.6523387661
233	0.6520898628
234	0.6516423551
235	0.6513555022
236	0.6511811284
237	0.6509510426
238	0.6506255609
239	0.6502453843
240	0.6500008445
241	0.649776971
242	0.6494563551
243	0.649187099
244	0.6489195053
245	0.648514866
246	0.6483343177
247	0.6479406184
248	0.6476626963
249	0.6474318519
250	0.6471840591
251	0.6469946776
252	0.6465643865
253	0.6462779233
254	0.6460291705
255	0.6459115642
256	0.6456685363
257	0.6454123061
258	0.6451239114
259	0.6447861151
260	0.6444758189
261	0.6442015075
262	0.6438674403
263	0.6435484143
264	0.643262688
265	0.6430685986
266	0.6427725309
267	0.6424727154
268	0.6421341409
269	0.6419003392
270	0.6417803469
271	0.6415578073
272	0.6411526879
273	0.6408158065
274	0.6406405844
275	0.6403036408
276	0.6398998284
277	0.6396794907
278	0.6392701314
279	0.6388724399
280	0.638525804
281	0.6382268372
282	0.6380154336
283	0.6376270694
284	0.63740031
285	0.637126096
286	0.6368629279
287	0.6365188486
288	0.6361167993
289	0.635787061
290	0.6356864171
291	0.6354383744
292	0.6352286497
293	0.6349888422
294	0.6346120345
295	0.6343386804
296	0.6340730756
297	0.6339971391
298	0.6337332499
299	0.6334897741
300	0.6333448231
301	0.6332144497
302	0.6328843708
303	0.6327497772
304	0.6324810707
305	0.6321759227
306	0.6319635118
307	0.6318038961
308	0.6316755134
309	0.6313644701
310	0.6310344227
311	0.6307210689
312	0.6303657625
313	0.6302749569
314	0.6299377958
315	0.6297096322
316	0.6294117429
317	0.6293138611
318	0.6290678539
319	0.6289012408
320	0.6285803512
321	0.62848836
322	0.6282858759
323	0.6281550773
324	0.6279848816
325	0.6277746134
326	0.6274427354
327	0.6273404674
328	0.6272892629
329	0.6270275591
330	0.6268127851
331	0.626671605
332	0.6264213105
333	0.6262630114
334	0.626003159
335	0.6258348339
336	0.6256012864
337	0.6252342098
338	0.6251616089
339	0.62493013
340	0.6247932895
341	0.6245076264
342	0.6244018821
343	0.6241063094
344	0.6238810194
345	0.623593568
346	0.6233077723
347	0.6230452215
348	0.6229765815
349	0.622675085
350	0.6224803079
351	0.6221653181
352	0.6219236845
353	0.6215941744
354	0.62133835
355	0.6211169708
356	0.6207456188
357	0.620613963
358	0.6203549551
359	0.6201529871
360	0.6199148162
361	0.6197572745
362	0.6194210562
363	0.6191236832
364	0.6187924702
365	0.6187050464
366	0.6185701655
367	0.6183636954
368	0.6181181361
369	0.6180185495
370	0.6176940473
371	0.6173929373
372	0.6171951876
373	0.6170257805
374	0.6168755439
375	0.6165950489
376	0.6164023383
377	0.6162919934
378	0.6160909495
379	0.6160062317
380	0.6159481802
381	0.6158655223
382	0.615722862
383	0.6154966963
384	0.6153233461
385	0.6151384751
386	0.614883815
387	0.6145158558
388	0.6142144676
389	0.6139397631
390	0.6136938862
391	0.6134961783
392	0.6134416753
393	0.6132298814
394	0.6129962935
395	0.6129174165
396	0.6125619867
397	0.6123654753
398	0.6122736263
399	0.6121486772
400	0.6120103968
401	0.6118461733
402	0.6117025118
403	0.6113771203
404	0.6110840843
405	0.6108690101
406	0.6106553522
407	0.6104886479
408	0.6103004735
409	0.6102006478
410	0.6098968128
411	0.6097877812
412	0.6096148869
413	0.6093825364
414	0.6091562574
415	0.6089531989
416	0.6087031193
417	0.6084116374
418	0.6081539988
419	0.6080683153
420	0.6079120891
421	0.6077056303
422	0.6074036894
423	0.6071390846
424	0.6069740158
425	0.6068686694
426	0.6064265336
427	0.6062795817
428	0.6061624209
429	0.6059895525
430	0.6057918749
431	0.6056734214
432	0.6056231543
433	0.6053936385
434	0.605226666
435	0.6049878656
436	0.6047896689
437	0.604660645
438	0.6045276573
439	0.6043688535
440	0.6041290101
441	0.6038750734
442	0.603634481
443	0.603265128
444	0.6031307123
445	0.6028057802
446	0.6025492326
447	0.6022332062
448	0.6019409351
449	0.6016965657
450	0.6015094235
451	0.6012784371
452	0.6011204562
453	0.6010087355
454	0.600721909
455	0.6005072177
456	0.6002369747
457	0.6001175305
458	0.5999793223
459	0.5997555208
460	0.5995667887
461	0.5993202692
462	0.599231998
463	0.5989232135
464	0.5987201672
465	0.5986256961
466	0.5984344847
467	0.5983662292
468	0.5980994648
469	0.5979442761
470	0.5976809188
471	0.5975283252
472	0.5974494996
473	0.5973011244
474	0.5970585644
475	0.5969477343
476	0.5967426024
477	0.5965370694
478	0.5963348521
479	0.596202394
480	0.5960798703
481	0.5958660392
482	0.5955675086
483	0.5952905659
484	0.5950911711
485	0.5949693065
486	0.5946353491
487	0.5945597556
488	0.5943073603
489	0.5941660686
490	0.593837388
491	0.5937374029
492	0.5936455764
493	0.5933613719
494	0.5931901681
495	0.5929860027
496	0.5928624911
497	0.5928293631
498	0.5926486729
499	0.592438941
